ID,Kapitel,Kapitelrubrik,Titel,Tema,Spår,Komponentnivå,Svårighetsgrad,Byggtid,Kodnivå,Wow-faktor,Komponenter,Beroenden,Illustrationsbehov,Textstatus,Kodstatus,Breadboardtest,Illustrationsstatus,Teknisk granskning,Pedagogisk granskning,Layoutstatus,Slutstatus,Kommentar
E075,7,"Temperatur, miljö och levande mätningar",Designa ett eget sensorlarm,Eget projekt,Bonus,Pluslåda,Mästare,60–90 min,Mellan,★★★☆☆,"E01, B01, B02, R01, L01, L02, A01, S01, S02, S03, S04, S07",E051–E074,Medel,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E076,8,OLED och användargränssnitt,OLED säger hej,Display,Huvudspår,Baslåda,Upptäckare,25–35 min,Mellan+,★★★☆☆,"E01, B01, B02, D01",E001,Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E077,8,OLED och användargränssnitt,OLED visar mätvärden,Display,Huvudspår,Baslåda,Uppfinnare,30–45 min,Mellan+,★★★☆☆,"E01, B01, B02, D01, S01","E051, E076",Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E078,8,OLED och användargränssnitt,OLED-menyn,Display,Huvudspår,Baslåda,Ingenjör,45–60 min,Mellan+,★★★☆☆,"E01, B01, B02, D01, K01","E029, E076",Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E079,8,OLED och användargränssnitt,Mini-instrumentpanelen,Display och mätning,Huvudspår,Pluslåda,Ingenjör,60–75 min,Mellan+,★★★★☆,"E01, B01, B02, D01, S01, S05, S02","E063, E077",Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E080,8,OLED och användargränssnitt,OLED-reaktionsspelet,Display och spel,Huvudspår,Baslåda,Ingenjör,50–70 min,Mellan+,★★★★☆,"E01, B01, B02, D01, K01, R01, L01","E041, E076",Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E081,9,NeoPixel och LED-matris,Pixel-smileyn,LED-matris,Huvudspår,Pluslåda,Upptäckare,30–40 min,Mellan+,★★★☆☆,"E01, B01, B02, D02",E076,Medel,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E082,9,NeoPixel och LED-matris,Matris-animationen,LED-matris,Huvudspår,Pluslåda,Uppfinnare,40–55 min,Mellan+,★★★☆☆,"E01, B01, B02, D02",E081,Medel,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E083,9,NeoPixel och LED-matris,Mini-Snake-idé,LED-matris och spel,Bonus,Pluslåda,Ingenjör,60–90 min,Mellan+,★★★☆☆,"E01, B01, B02, D02, K01","E049, E082",Medel,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E084,9,NeoPixel och LED-matris,NeoPixel första regnbågen,NeoPixel,Huvudspår,Pluslåda,Upptäckare,30–45 min,Mellan+,★★★★☆,"E01, B01, B02, L03",E013,Medel,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E085,9,NeoPixel och LED-matris,NeoPixel-timer,NeoPixel,Huvudspår,Pluslåda,Uppfinnare,45–60 min,Mellan+,★★★★☆,"E01, B01, B02, L03, K01","E047, E084",Medel,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E086,9,NeoPixel och LED-matris,Reaktionsring,NeoPixel och spel,Bonus,Pluslåda,Ingenjör,60–75 min,Mellan+,★★★★★,"E01, B01, B02, L03, K01, A01","E041, E084",Medel,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E087,10,Servo och smarta prylar,Servo första rörelsen,Servo,Huvudspår,Pluslåda,Upptäckare,25–35 min,Mellan+,★★★☆☆,"E01, B01, B02, M01",E015,Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E088,10,Servo och smarta prylar,Vredstyrd servo,Servo,Huvudspår,Pluslåda,Uppfinnare,35–50 min,Mellan+,★★★☆☆,"E01, B01, B02, K02, M01",E087,Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E089,10,Servo och smarta prylar,Avståndsstyrd visare,Servo och sensor,Huvudspår,Pluslåda,Ingenjör,45–60 min,Mellan+,★★★★☆,"E01, B01, B02, S02, M01","E056, E087",Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E090,10,Servo och smarta prylar,Skattkistan öppnas,Servo och uppdrag,Huvudspår,Pluslåda,Ingenjör,60–75 min,Mellan+,★★★★★,"E01, B01, B02, K01, M01, L02, A01","E032, E087",Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E091,10,Servo och smarta prylar,Temperaturvisaren,Servo och mätning,Huvudspår,Pluslåda,Ingenjör,45–60 min,Mellan+,★★★☆☆,"E01, B01, B02, S05, M01","E063, E087",Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E092,10,Servo och smarta prylar,Automatisk dörrvakt,Smart uppfinning,Huvudspår,Pluslåda,Ingenjör,60–75 min,Mellan+,★★★★☆,"E01, B01, B02, S07, M01, L02","E067, E087",Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E093,10,Servo och smarta prylar,Smart nattlampa deluxe,Smart uppfinning,Huvudspår,Pluslåda,Ingenjör,60–75 min,Mellan+,★★★★☆,"E01, B01, B02, R01, S01, L03, D01","E017, E076, E084",Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E094,10,Servo och smarta prylar,Växtvakt med display,Smart uppfinning,Huvudspår,Pluslåda,Ingenjör,50–70 min,Mellan+,★★★★☆,"E01, B01, B02, S08, D01, L02","E070, E076",Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E095,10,Servo och smarta prylar,Rumsklimatets humör,Smart uppfinning,Bonus,Pluslåda,Ingenjör,60–75 min,Mellan+,★★★☆☆,"E01, B01, B02, S05, D01, L03","E063, E084",Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E096,10,Servo och smarta prylar,Interaktiv larmcentral,Smart uppfinning,Huvudspår,Pluslåda,Mästare,75–90 min,Mellan+,★★★★☆,"E01, B01, B02, S04, S07, D01, L02, A01","E058, E067, E078",Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E097,10,Servo och smarta prylar,Mini-kontrollpanel,Smart uppfinning,Bonus,Pluslåda,Mästare,60–80 min,Mellan+,★★★☆☆,"E01, B01, B02, K01, K02, D01, L02","E078, E088",Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E098,10,Servo och smarta prylar,Touch-pianot,Touch och ljud,Bonus,Pluslåda,Ingenjör,50–70 min,Mellan+,★★★☆☆,"E01, B01, B02, K03, A01, L03","E036, E084",Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E099,10,Servo och smarta prylar,Touch-kodlåset,Touch och uppdrag,Bonus,Pluslåda,Mästare,70–90 min,Mellan+,★★★☆☆,"E01, B01, B02, K03, M01, L02, A01","E032, E090, E098",Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E100,10,Servo och smarta prylar,Designa en smart uppfinning,Eget projekt,Bonus,Pluslåda,Mästare,90–120 min,Mellan+,★★★★☆,"E01, B01, B02, D01, L02, L03, M01, S01, S02, S05, S07, S08, A01, K01, K02",E076–E099,Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E101,11,Motorer och robotik,DC-motor första snurret,Motorer,Huvudspår,Makerlåda,Upptäckare,30–45 min,Avancerad,★★★☆☆,"E01, B01, B02, M03, M04",E087,Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E102,11,Motorer och robotik,Motor åt båda hållen,Motorer,Huvudspår,Makerlåda,Uppfinnare,40–55 min,Avancerad,★★★☆☆,"E01, B01, B02, M03, M04, K01",E101,Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E103,11,Motorer och robotik,Fartkontroll med PWM,Motorer,Huvudspår,Makerlåda,Ingenjör,45–60 min,Avancerad,★★★☆☆,"E01, B01, B02, M03, M04, K02","E101, E088",Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E104,11,Motorer och robotik,Mini-fläkten,Motorer och uppfinning,Huvudspår,Makerlåda,Uppfinnare,45–60 min,Avancerad,★★★★☆,"E01, B01, B02, M03, M04, S05","E062, E101",Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E105,11,Motorer och robotik,Robotbas första versionen,Robotik,Huvudspår,Makerlåda,Ingenjör,60–90 min,Avancerad,★★★☆☆,"E01, B01, B02, M03, M04",E102,Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E106,11,Motorer och robotik,Robot som undviker hinder,Robotik,Huvudspår,Makerlåda,Mästare,90–120 min,Avancerad,★★★★★,"E01, B01, B02, S02, M03, M04","E055, E105",Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E107,11,Motorer och robotik,Stegmotor första stegen,Stegmotor,Bonus,Makerlåda,Uppfinnare,40–55 min,Avancerad,★★★☆☆,"E01, B01, B02, M02",E087,Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E108,11,Motorer och robotik,Mini-karusellen,Stegmotor,Bonus,Makerlåda,Ingenjör,60–75 min,Avancerad,★★★★☆,"E01, B01, B02, M02, K01, L02",E107,Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E109,12,"RFID, IR och identifiering",RFID första läsningen,RFID,Huvudspår,Makerlåda,Upptäckare,35–50 min,Avancerad,★★★☆☆,"E01, B01, B02, C01",E076,Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E110,12,"RFID, IR och identifiering",RFID-passersystem,RFID,Huvudspår,Makerlåda,Ingenjör,60–75 min,Avancerad,★★★★☆,"E01, B01, B02, C01, L02, A01","E032, E109",Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E111,12,"RFID, IR och identifiering",RFID-skattkista,RFID och servo,Bonus,Makerlåda,Mästare,75–100 min,Avancerad,★★★★★,"E01, B01, B02, C01, M01, L02, A01","E090, E110",Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E112,12,"RFID, IR och identifiering",IR-fjärrens hemliga koder,IR,Huvudspår,Makerlåda,Upptäckare,30–45 min,Avancerad,★★★☆☆,"E01, B01, B02, C02",E028,Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E113,12,"RFID, IR och identifiering",Fjärrstyrd lampa,IR,Huvudspår,Makerlåda,Uppfinnare,45–60 min,Avancerad,★★★★☆,"E01, B01, B02, C02, R01, L02","E024, E112",Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E114,12,"RFID, IR och identifiering",Fjärrstyrd servo,IR och servo,Bonus,Makerlåda,Ingenjör,50–70 min,Avancerad,★★★★☆,"E01, B01, B02, C02, M01","E087, E112",Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E115,13,"Tid, loggning och WiFi",Klockan vaknar,Tid,Huvudspår,Makerlåda,Uppfinnare,45–60 min,Avancerad,★★★☆☆,"E01, B01, B02, D03, D01",E076,Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E116,13,"Tid, loggning och WiFi",Tidsstyrd påminnare,Tid och smart pryl,Huvudspår,Makerlåda,Ingenjör,60–75 min,Avancerad,★★★★☆,"E01, B01, B02, D03, D01, L02, A01",E115,Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E117,13,"Tid, loggning och WiFi",SD-kort första loggen,Dataloggning,Huvudspår,Makerlåda,Ingenjör,60–80 min,Avancerad,★★★☆☆,"E01, B01, B02, D04, S05",E062,Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E118,13,"Tid, loggning och WiFi",Min väderloggare,Dataloggning,Huvudspår,Makerlåda,Mästare,90–120 min,Avancerad,★★★★☆,"E01, B01, B02, D04, D03, S05, D01","E115, E117",Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E119,13,"Tid, loggning och WiFi",Första WiFi-sidan,WiFi och IoT,Huvudspår,Makerlåda,Ingenjör,60–90 min,Avancerad,★★★★☆,"E01, B01, B02, R01, L01",E021,Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E120,14,Familjens stora Makerprojekt,Familjens smarta uppfinning,Eget Makerprojekt,Slutprojekt,Makerlåda,Mästare,120+ min,Projekt,★★★★★,"E01, B01, B02, D01, L02, L03, M01, M03, M04, S01, S02, S05, S07, S08, C01, C02",E001–E119,Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
